# t_s,id,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s
4.038122,1,0.352407,0.885535,-0.009061,1.613086
4.048665,1,0.352399,0.865423,-0.005343,1.669793
4.059209,1,0.352312,0.842461,-0.021146,1.738585
4.069759,1,0.352241,0.820834,-0.015568,1.789714
4.080308,1,0.352238,0.796338,-0.025794,1.853858
4.090860,1,0.352206,0.773347,-0.024865,1.904987
4.101429,1,0.352198,0.747256,-0.030442,1.982145
4.111983,1,0.352050,0.722828,-0.026724,2.016541
4.122535,1,0.351933,0.695341,-0.027654,2.056515
4.133086,1,0.351842,0.667272,-0.015568,2.103925
4.143634,1,0.351857,0.641401,-0.018357,2.136462
4.154181,1,0.351771,0.612700,-0.023935,2.139251
4.164729,1,0.351786,0.586657,-0.003483,2.131814
4.175280,1,0.351838,0.558285,-0.005343,2.097418
4.185826,1,0.351952,0.532918,-0.001624,2.063951
4.196373,1,0.352085,0.505642,-0.000695,2.008174
4.206914,1,0.352195,0.481552,-0.012780,1.943101
4.217461,1,0.352354,0.455914,-0.009061,1.885465
4.228003,1,0.352331,0.433437,-0.010920,1.812025
4.238546,1,0.352357,0.409786,-0.002554,1.715344
4.249090,1,0.352612,0.387489,-0.003483,1.617734
4.259635,1,0.352680,0.368592,0.007672,1.491306
4.270180,1,0.353009,0.349606,0.003024,1.356512
4.280725,1,0.353282,0.334011,-0.007202,1.223576
4.291271,1,0.353379,0.318651,-0.002554,1.077626
4.301809,1,0.353379,0.306352,-0.026724,0.953057
4.312342,1,0.353265,0.294417,-0.017428,0.836855
4.322886,1,0.353102,0.284900,-0.014639,0.743893
4.333434,1,0.352957,0.275776,-0.022076,0.639776
4.343984,1,0.352669,0.267893,-0.024865,0.552392
4.354522,1,0.352405,0.261895,-0.023005,0.449204
4.365056,1,0.352178,0.256568,-0.014639,0.349735
4.375592,1,0.351914,0.252930,-0.019287,0.259562
4.386127,1,0.351756,0.250261,-0.014639,0.159163
4.396668,1,0.351514,0.248978,-0.015568,0.070849
4.407200,1,0.351315,0.248691,-0.017428,-0.016535
4.417753,1,0.351119,0.249034,-0.010920,-0.024901
4.428301,1,0.350982,0.249528,-0.008132,-0.037916
4.438845,1,0.350931,0.249999,-0.001624,-0.051860
4.449395,1,0.350836,0.250572,0.008602,-0.045353
4.459930,1,0.350716,0.251223,-0.004413,-0.046283
4.470481,1,0.350643,0.251897,-0.004413,-0.057438
4.481019,1,0.350546,0.252656,0.001165,-0.056508
4.491566,1,0.350520,0.253408,-0.008132,-0.069523
4.502093,1,0.350454,0.254365,-0.009991,-0.073242
4.512622,1,0.350454,0.255330,-0.004413,-0.078819
4.523171,1,0.350451,0.256474,-0.003483,-0.084397
4.533708,1,0.350448,0.257547,-0.010920,-0.087186
4.544258,1,0.350255,0.258806,-0.014639,-0.092764
4.554806,1,0.349939,0.259910,-0.013709,-0.095552
4.565354,1,0.349638,0.261022,-0.010920,-0.078819
4.575900,1,0.349403,0.261943,-0.016498,-0.053720
4.586432,1,0.349143,0.262564,-0.014639,-0.038846
4.596965,1,0.348897,0.262878,-0.012780,-0.013746
4.607494,1,0.348590,0.262866,-0.006272,0.006706
4.618025,1,0.348493,0.262931,0.003024,-0.005379
4.628555,1,0.348430,0.262920,-0.013709,-0.005379
4.639105,1,0.348354,0.262941,-0.009061,-0.008168
4.649674,1,0.348207,0.262986,-0.029513,-0.007239
4.660234,1,0.347907,0.262971,-0.033231,-0.004450
4.670791,1,0.347460,0.262964,-0.037879,0.001128
4.681345,1,0.346855,0.262953,-0.009991,-0.010957
4.691903,1,0.346688,0.262939,-0.010920,-0.003520
4.702461,1,0.346612,0.262953,-0.001624,-0.003520
4.713020,1,0.346524,0.262953,-0.001624,-0.007239
4.723575,1,0.346466,0.262963,0.000235,-0.001661
4.734117,1,0.346403,0.262947,0.005813,-0.008168
4.744651,1,0.346306,0.262944,0.006742,-0.001661
4.755183,1,0.346328,0.262982,0.002094,-0.010957
4.765718,1,0.346300,0.262998,-0.003483,-0.004450
4.776251,1,0.346230,0.263014,-0.003483,-0.011887
4.786786,1,0.346209,0.263065,0.000235,-0.009098
4.797318,1,0.346211,0.263091,0.007672,-0.009098
4.807848,1,0.346219,0.263089,0.006742,-0.006309
4.818379,1,0.346221,0.263098,-0.003483,-0.004450
4.828911,1,0.346100,0.263122,0.007672,-0.003520
4.839440,1,0.346013,0.263126,-0.009061,0.001128
4.849968,1,0.345884,0.263164,0.004883,-0.005379
4.860498,1,0.345797,0.263152,0.003024,-0.005379
4.871027,1,0.345745,0.263148,-0.000695,-0.001661
4.881559,1,0.345695,0.263150,-0.003483,0.001128
4.892089,1,0.345640,0.263190,0.003024,-0.007239
4.902618,1,0.345639,0.263213,-0.001624,-0.005379
4.913146,1,0.345666,0.263213,-0.006272,-0.005379
4.923676,1,0.345641,0.263234,0.003954,-0.009098
4.934211,1,0.345636,0.263225,0.001165,-0.006309
4.944739,1,0.345621,0.263266,-0.001624,-0.010028
4.955268,1,0.345579,0.263301,-0.004413,-0.007239
4.965803,1,0.345549,0.263332,0.004883,-0.002591
4.976338,1,0.345495,0.263325,0.003954,-0.008168
4.986867,1,0.345439,0.263323,-0.001624,-0.008168
4.997397,1,0.345380,0.263340,0.000235,-0.013746
