# t_s,id,pitch_rad,yaw_rad,pitch_rate_rad_s,yaw_rate_rad_s
4.276400,1,-0.238667,-0.026789,-0.009755,0.034956
4.286928,1,-0.212178,-0.026858,-0.020229,-0.005884
4.297443,1,-0.183350,-0.026787,-0.021837,-0.007532
4.307969,1,-0.152490,-0.026684,-0.024480,-0.012106
4.318499,1,-0.119931,-0.026475,-0.025761,-0.023608
4.329023,1,-0.085937,-0.026095,-0.026495,-0.044708
4.339549,1,-0.050874,-0.025476,-0.028771,-0.067127
4.350080,1,-0.015099,-0.024643,-0.028077,-0.089278
4.360605,1,0.020845,-0.023481,-0.024684,-0.123691
4.371130,1,0.074334,-0.021069,-0.012491,-0.173582
4.381656,1,0.109216,-0.019095,-0.001028,-0.198930
4.392183,1,0.142938,-0.016924,0.017163,-0.211746
4.402708,1,0.174903,-0.014630,0.021376,-0.219978
4.413232,1,0.211835,-0.011761,0.032880,-0.217007
4.423757,1,0.238724,-0.009535,0.038249,-0.202561
4.434282,1,0.263080,-0.007404,0.040454,-0.197169
4.444807,1,0.284699,-0.005352,0.048523,-0.186188
4.455334,1,0.307282,-0.002994,0.041935,-0.163401
4.465859,1,0.321562,-0.001432,0.041623,-0.131848
4.476383,1,0.332227,-0.000257,0.030788,-0.093854
4.486908,1,0.338339,0.000530,0.004960,-0.057397
4.497432,1,0.339710,0.000811,-0.003128,-0.008460
4.507957,1,0.337456,0.000822,-0.009640,-0.005972
4.518483,1,0.333552,0.000889,-0.007391,-0.003554
4.529009,1,0.329438,0.000811,-0.019048,0.009809
4.539535,1,0.325669,0.000696,-0.047210,0.008540
4.550060,1,0.322449,0.000561,-0.008306,0.013223
4.560587,1,0.319831,0.000446,-0.008659,0.006809
4.571118,1,0.316673,0.000474,0.000010,-0.008693
4.581645,1,0.314727,0.000591,0.005567,-0.011376
4.592171,1,0.312763,0.000705,0.007161,-0.013513
4.602697,1,0.310679,0.000833,0.004801,-0.013235
4.613226,1,0.307442,0.001049,-0.001470,-0.019867
4.623757,1,0.303652,0.001222,-0.006846,-0.016884
4.634284,1,0.297887,0.001258,-0.008650,0.000777
4.644811,1,0.289253,0.001215,0.014574,0.001328
4.655341,1,0.272800,0.001114,0.008916,-0.005191
4.665866,1,0.254307,0.001167,0.008472,-0.016006
4.676395,1,0.230870,0.001248,0.009896,-0.020425
4.686922,1,0.202767,0.001373,0.016835,-0.023002
4.697448,1,0.170339,0.001456,0.026671,-0.019191
4.707974,1,0.133831,0.001520,0.032217,-0.019111
4.718500,1,0.093645,0.001612,0.032134,-0.023826
4.729027,1,0.050239,0.001735,0.029349,-0.024811
4.739553,1,0.003850,0.001846,0.031053,-0.025012
4.750078,1,-0.045346,0.002045,0.036694,-0.033495
4.760604,1,-0.097080,0.002278,0.040451,-0.035580
4.771131,1,-0.178888,0.002754,0.043771,-0.041113
4.781657,1,-0.235713,0.003132,0.043176,-0.040807
4.792184,1,-0.293545,0.003529,0.041139,-0.039453
4.802709,1,-0.322469,0.003762,0.038974,-0.047987
4.813236,1,-0.390979,0.006778,-0.090538,0.021698
4.823762,1,-0.366342,0.004522,0.158045,0.170654
4.834289,1,-0.343003,0.004229,-0.074187,0.012077
4.844815,1,-0.330149,0.003819,0.020253,0.019502
4.855343,1,-0.324141,0.004861,-0.019170,-0.086879
4.865868,1,-0.324531,0.004953,-0.029117,0.036716
4.876400,1,-0.328373,0.005112,0.003232,-0.066235
4.886926,1,-0.335181,0.005584,-0.083287,-0.016332
4.897452,1,-0.344251,0.005705,-0.009887,-0.029015
4.907977,1,-0.354101,0.006469,0.020243,-0.073372
4.918503,1,-0.361960,0.007129,0.026760,-0.066527
